,post
4039, those who clucked the loudest about   white supremacy   surrendered on gay marriage  their weakness has invited further aggression 
4490,london has fallen thanks to the quislings massimporting feral inbred barbarians the twittersafe i
723,   jewish   bolsheviks are a clever bunch    zionists      neo cons    they own our media  
2814,  i hear you guys had a safespace for gay white male atheist feminists altright
5578,finish islam or u r finished
1887,white genocide in the united states of america a 100 year history swrm whitegenocide usa via
5058,oh look its one of the american taliban move to the middle east you freak
4919,sweetie why did muhammed ask jesus to let him jump in the swine and jump over the cliffs was he afraid to jump off the mountain
5667,dont they realise if they pull the trigger theyre going to lose badlyi hope they do it we need a good culling anyway
1129,thins stuff has to stop  if youre truly serious about stopping anti white hate crime join whitehonor betawards venezuela
2826,already happening in toronto and is 52  nonwhite  detroit  the death of white civilisation via
3223,plannedparenthood white people in america are under a constant threat of violence by mexicans  blacks
3846, nobody will take white identity seriously if you yell muh jew for every issue  we need to talk about how gr
5232,dont care what the vote illegal criminals are to be deported or lose funding
5480,need a new law to prevent these attacks deport all noncitizen relatives of the attacker and stop all emigration from his home country for 5 yearsthat should cool the emotions of the potential killer and provide incentive for his relatives to stop his attack at war or not
2799, rt imagine being so crippled by white guilt  you become a   journalist   and tell all white people they are 100  racist  
4239,certainly notmore swamp to drain
968, try thinking of some of our ideas  replace jews do  w    white males   shouldnt  think  
6180,you can tell a lot about a man by the car he drives for example  if it s a black man  it s not his car 
2548,germans are great people stop jews an others from degrading your race an be proud you white heritage
5938,You know the only good thing about being a Jewish chimney sweeper in Auschwitz You get to have all your family and friends around you
2072,white student union offensive  but antiwhite student union is welcome at toronto university via
1974,extermination of the white race  real facts about britain and nonwhite immigration  read more  via
2372,hello speedy gonzales  hows it going jose  bumped any old white people off lately   oh youre hispanic huh  kill em all you mexican devil
5726,Commies They need to be driven from this world Now And forever Misanthrope
2376,hungarian politicians protesting against invasion  hungary is the only normal country in europe  visegrad group
3905,illegal alien may be allowed to pass the florida bar to practice law in america   but hes fing illegal  
6096,black people are like tires they work better with chains
2673,needs to call out the dems on their hatred of white people  go there  it is an antiwhite party
2972,white privilege conference this week nationalsocialism
145,there is no black vs white issue in america there is muslims problem  they infiltrating black groups
1318,they knew from the start  equality  meant either destroying the white race or bringing it down to the lowest level 
5697,why have standards right these cities wil file for bankruptcy soon
3349,the biggest mistake the emperor of germany ever made was forcing    them    to take european names  now weve got all of these steins  bergs and sons running around  instead of folks with asiatic names that would mark them out
4954,how on earth can he vow to do that he cant protect his peeps inside of mexico his country is like chicago on steroids
2831,anti white media coverage is all you will get regardless of street numbers  if any idiot out there thinks whitey will ever get sympathetic media coverage you are a complete idiot  stop pandering to those that hate your guts its a loser 
5354,this is shameful that we have so many illegals in the country and obama wouldnt let them do there job time to get some officers hired to get this problem under control
5689,rnt really scary let us concealed carry  ul see how cowards dee r
2387,im prowhite  heimbachs job is to drive people away from white identity  attacking him is doing the lords work  i should get a medal 
118,muslims are always wanting to kill someone  its their duty to kill the infidel 
285,look at white civilization and look at nonwhite
5869,What do you feel when you see a black man running The recoil
2359,diversity is not a strength  endimmigration
5275,my takeput them all in a c130 and dump them out over their own country without parachutesdone over
4882,gee id like to vote in the english and german and mexican elections think those countries would mind gross
688,us  school teachers too white  say antiwhites
3668,and sure  kebab  what could a jew ever do to us  if they kill us then they are dead  extinguished from the earth  capisce  same with you 
448,no daca deport them they have been on the taxpayer backs along with illegal parents since they arrived  my kids are still paying student loans why are theirs free and im paying it makes no sense  let them make their own countries great  no more illegals  daca  entitlements  out
4906,rape gangs have been here along time oh thats ok then
709,why are we in the state we are today  post 1946the plan to dilute the white race was set 
845,liberal scientists developing methods to make white people less resistant to nonwhite invasion swrm whitegenocide
165,what is there to misunderstand about islamic ideology of kill  kill  kill and kill some more 
2794, lol  no surprise  jews proliferate   perceived racism   and   antiwhite agenda   
2357,diversity is about chasing down white people 
4530,would like to see write up an executive order denying federal funding to cities that harbor illegals
5989,How dark is my humor Dark enough to get six warning shots in the back
5336,stop warehousing them and send them back where they came from no visa no staygone
3120,not idiots  white and black is none of our business  only aryans are invited
3566,this is the cuck you wantedthe buck you called downdemarcus straddles your wife  a giantyoure not racist now
4486,how easy it is to get a background from someone with no background that lives in a mud hut lmao
2450,the false narrative  its open season on killing whites and cops via
399,cuckservatives  trump and white identity politics  is trump mainstreaming white identity politics 
960, rt moinuddin chisti  the sufi   saint   poisoned the lake in ajmer  to bring hindus down to their knees    embrace   islam 
2566, white americans have remained shockingly european despite decades of race mixing propaganda
5701,im not interested in helping you work your sickness out you need a shrink and a pile of meds still probably wouldnt help you get help
1882,where was the rebuke from people when blm given key to white house  ppl was being political correct afraid of being called a bigot or racist
5653,yes lets secure our borders from these terrorists oh wait
4824,are you fucking racist and high that kid was pummeled beyond belief by pigs they deserve j
5284,let businesses know that if they take this  hire illegals they will loose american business say no to sellouts
4542,chimps doing what they do best thisflatisforblacks to force white mum out of home via
3543,racist or white supremacy would want nothing more than government programs  a single generation of welfare destroys so many skills  fathers
2453,the idea is partition of us along racial and ideological lines  communist state  white ethnostate  black ethnostate  social democrat state
419,hypocritical jews fret  demographic catastrophe  while promoting antiwhite agenda  stopwhitegenocide
528, most of these   nazis   dont appear to be white  antifa is whiter than they are  
2786,you jihad enablers are so filled with hate  it oozes out of your every utterance 
5642,give a bunch of baboons the rights of citizens and this is what happens
5639,park rangers  game wardens should be used 2 perform an eviction whats good for us good 4 them
2950,via  clash of civilizations  iranian in canada attacks wifes boss for saying hello tcot
991, no country for minority white children  racist attacks by violent nonwhites rising in america
3276,has numerous excellent articles on their site proving that white people are the only race who take care of the environment 
5038,i dont carei bet when he says allahu ackbar its pretty damn cute
4985,the evil bastard what should i say i feel sick and now islam good help us
2731,this is the sort of selfdetermination we and the broader altright supportwould you like to discuss this in a public forum 
2879,is it because muhammad was a white man 
5847,A black guy finds a genie in a bottle Any three wishes he had would be granted the genie informed him I wanna be rich said the black guy The back yard filled up with chests of gold coins and jewels in the blink of an eye Im no fool said the black guy I wanna be white And there he stood white blondehaired and blueeyed Last but not least I never want to work another day in my life And he turned black again
1805,he told the world  the immortal words of adolf hitler  video  via powerful images  prophetic words
4418,we have plenty of poor and downtrodden of our own bring me someone with marketable skills
978, on periscope  the cuckturians assaulting white nationalists  the latest
975, are antiwhite racists  fomenting violence against white americans 
549, new black panther negroes started mobilization to burn white communities
2338,antiwhite shootings in nyc 
3806,you hate us so much  why dont you promote racial separation  clearly racial integration doesnt work
1224,black leaders advocating genocide of white devils  dhs official booted for advocating white genocide
5982,Dont bully people with obesity Im being serious guys they already have enough on their pl8
108,look at this  some angry black person  you were right theyre all violent 
1749, poor little president victim  did you only support the   black   part of him  pretty sure the   white   part was racist  
4692,stick him in an mri machine film the magnets ripping all that shit out of his flesh
5984,Whats the best part of an ISIS joke The Execution
1101,protest obama at the white house in washington d  c  brainwashing white people and controlling us on how to live
483,they know exactly what theyre doing when they target and exploit the emotional nature of black people 
6077,D nkrause11 Dudes who go to culinary school why findawife notsexist 
3744,my traps help save the white race
5962,What do you get when you put a gay Canadian flight attendant in the same room as a monkey An aids epidemic
1879,uh white lives matter 
5081,if they are undocumented they arent immigrants
5748,How do you free Tommy Robinson The answer is so simple youd be surprised You deliver your demands if they laugh at you riot threaten to push into the jail hes being held at threaten to burn down the citytown and begin to riot push against them attack attack attack and dont stop until they fold to your demands Its sad to say but it may be the only strategy left is to rain hel
192,you sound like a racist  do you hate white people  support genocide of native whites 
2615,good 1  white people are toast with childish self prescrided spokesment like u at the helm 
4375,im going to demand welfare for allamerican citizens in the 3rd world and de
6177,what did hitler say to the defeated jewish cowboy  reich for the sky 
271,i would make white babies with all of them thats what i am willing to do for the white race
3508,if he is pro white and becomes president  all the white countries will follow suitno elections necessary 
4567,the muslim paradigm is a soulless vapid perverted stain on the bed of humanity
1288,no  no nonwhite refugees  period 
4497,whereas one of these inbreds who can string a sentence together and quote the qaran becomes the leader of the numbnuts
981,15 year old white danish girl blinded by african muslims in racially motivated hate crime d more  via
2123,a white woman leading a bunch of violent black men  no wonder white women want diversity  kinda like when lenin wanted the tsar dead 
5167,1952 by the un our constitution was amended to ban all islamic people from usa trump is right these people are to dangerous to america 
4944,okay if you believe that then you truly are deluded hijab is oppressive to woman kind i revere women they are humanitys future be gone
2191,nope  but  racist  is the new n word for white people 
573,are you a student and sick of the antiwhite message on campus  john us  projectsiege
1264,in a nutshell  if our government defends us and works for our interests  its deemed hostile to a jewish minority 
2921,science  genetics tell us there are inherent differences  my objection is to underlying premise that white race is biologically superior
4065,der spiegel  the mystery of the forest swastikas  full story 
3765,so zhids ordered stupid employees poor jew and other white collar working classlemmings that cal themselves
4366,their horrific 3rd world standards have damaged our culture and made our youth socially retarded
2830,another white officer killed by a black thug  obama and his race baiters must be smiling from ear to ear 
471,some are mixedrace parteuro  they imagined most will intermarry whites and future generations will be white
1343,why do we care what jews want or dont want  they are actively at war with the white race and always have been 
6137,why are black people so good at excel  they know a lot about cells
2735,time will prove who r allies  national socialist party has much bigger canvass spreading far  wide 
2625,i consider myself to be alt   south 
2982,   arabs  mixedrace people  white hispanics and others who could  pass  would be doing whatever they could to get white privilege if it were real     gregory hood 
5665,if someone invades the usa im picking up a gun and fighting u r welcome to hide under my bed
272,im being ridiculed so often for wanting a white nation  sick of the faux white people  idiots they are 
4370,cmon guys push the numbers by some estimates at least 20 mill illegals possibly twice that  drowning us   
6021,How do you stop black kids from jumping on the bed Put Velcro on the ceiling
2356,disingenuous white liberals face black crimedilemma
1092,nowhere is it explained why xenophobia and white self preservation are anything other than positives for america
5993,Wanna hear a joke Black Lives Matter
795,denmark  white america  someone honestly want to tell me the two arent closer than mayans 
3981,this guy is jewish  monsieur     they    are notoriously antiwhite 
5231,robert i hereby dub you an honorary jew the elders meet to discuss the world every other tuesday dont be late
4778,theyre mongrels
3273,golden dawn announces imia march 2013  every white nationalist is invited via
2658,like all political whores  obama is obedient to his jewish judaism news israel palestine
3694,education  you mean anti white propaganda 
5963,What does a redneck girl say when she meets her first lover Hi dad
1471,jews dont want to live close to the nonwhite invaders they welcome expeltheinvaders withjewswelose
1053,i am part of white america
6292,You cant be a person of colour youre too pale
874,so there is a prowhite and antiwhite side  i choose pro 
5398,no no no no no we want them out of america now
6320,did you know Mexicans in Southern California actually use JAJAJA Instead of hahah pisses me off so much  DEPORTALLOFTHEM
2714,the children of the wealthiest blacks in america underperform poor whites and asians
1442,he never will  he hates white people and our country even more 
21, and of course    antiracist   is a code word for   antiwhite      selfhating jews   are nothing compared with selfhating white people  
2942,the white man invented ladders so its my duty as a racist to use them  i further the cause every time i go for the top shelf
65,basic human rightswhat for so how are u guys on jews and blacksben n i hate them
5459,theyll be easy to spotno wait
15,    latest unhinged antiwhite rant at ferguson   ugly black lesbian  negrogeddon 
4058,being prowhite is being racist by the definition used by the left
2458,the pc politicians in parliament who let these muslims into the uk are protected by layers of security  the people are disarmed
6345,If men are so privileged and women have it so hard why are so many men choosing to live as females
3088,i think that separatism is a guise for race war  this white collective is out of rational fear  12
4346,enddaca endh1b doesnt matter you are still illegal even if you somehow get to stay here your life is poisoned from its illegal
911,while the left portrays conservatives as terrorists who mow down people in trucks  islamic terrorists are actually doing that 
5053,native americans were here first theres no denying it and they didnt secure their borders see what happens
1132,time to start a serious discussion on disarming black people and reviving insane asylums 
5386,no to dance pack up your taco wagon
5382,stand on line like legal immigrants do dont confuse us with ppl breaking the law illegals immigrants are illegal end
4086,i would put forward that he is more of a white black  like white hispanic  cuz  messaging  
1520,the subcontinentaldarkies climbed the americas political  corporate  social ladders faster than other asian groups
4270,youre a smart guy what color is your wife
3189,youre a bit more mellow than i am this morning  tommy  all muslims must be considered potential terrorists
2479,whats happening in south africa is awful and not one news station covers it
1748, mixing easter and holocaust commemoration  literal holocaustianity    that jew died for you    
5020,bye bye we wont miss ur welfare sucking dem ass
3148,them white folks must be racist  cause dem po blks could not be at fault  so misunderstood
5696,no bloody waytell the moslims where to shove itin a polite way obviously
4701,and pork mmm bacon or clothing of mixed fabrics as long as they dont look gay
3735,left wing traitors are scared native europeans will demand their identity  culture  history and land back 
5073,time to band together and get sickening vocal whatever it takes to stop this garbage and the carriers of garbage t
2289, lower iq and the resulting aggressive behaviours  inability to learn complex sciences  inability to selfreflect    kangz    etc   impossible  
1355,   you need a bombed out white civilization for black run america to work    
2759,wherever the altright  lite differ ideologically  were united by an uncucked  defiant spirit  were a different breed 
5995,What Do You Call It When An Ethiopian Baby Cries A midlife crisis
4203,democratthe godless party of filth and hate
5342,sanctioned deported then finally shipped out to a remote island for repeated offenses lol endtheinvasion
2456,the only experts of islam is people who openly study it  not forced to except islam as most are 
5613,theres plenty of room in that miscreants head for a few 9mm bullets did the guards deliver them
6100,why did a black man cross the road  hey  gimme back my wallet 
1953,antifa hate whites  many are self hating white psychopaths 
2992, rt    mandela health problems renew fears of white genocide in south africa via   
1322,tomorrow is april 20th  the birthdate of adolf hitler  do you have your flyers  stickers  cards ready for mass distribution   activism
3134,so the new black panther party isnt racist  they are protecting blacks  then wheres the protecting whites 
3417, because its true even though they deny it    antiracist   is a code word for   antiwhite    
4894,just vote her your guts if you want to survive from islamists
3472,carolyn  if i were to recommend a book to you it would be the epic 2 volume march of the titans  a complete history of the white race 
2000,it is strong social bonding that propels citizens to work honestly  this is national socialism inherent 
3303,jewish journalist alanna schubach wants to bring multiculturalism to the noble japanese  ending millennia of tradition and homogeneity 
2526, oh  and the group that kills children are   white   too  
1503,see shucking and jiving for the white man is paying off
6226,Surveying gender is easy because theres only male and female
4721,why have a wall when you have mexico on this side of wall
3168,white lives matter
5600,i have my trusty spell casting wand i shall smite all the libtard goblins back to hell from whence they came kazaam
4671,white trash  white person procreating with a nonwhite
2058,we could save the lives of police officers and cut law enforcement costs by disarming black people  nra tcot
2214,stop anti white racism stop your hate we have a right to exist
2539, rt when will share an   uncomfortable truth   about a race other than the white race  or does the bbc just hate europeans  
5916,How do Autists deal with school With a reeeeeeeeeevolver
2218,that is not true  hindus are theives they saw a white man show them
2364,ethnic cleansing of europeans in america increased  nearly half of youth population is nonwhite via
4617,quote from democrats everify system will disadvantage many illegal immigrants in the agriculture sector god forbid
820,i love and understand black people but i wont global white ethnostate 
4570,wow crazy selfish europeans that have no future no children or grandchildren are nihilistic like hitler
2966,white lives matter event page via
5213,if a crime occurs in a sanctuary city and the perp is an illegal the victim should be able to sue the city
6267,I just think that the feminist movement glorifies obesity It should focus on being healthy because what its doing now is just as bad as the mainstream media
64,are you jewish  if so you arent white  either way youre antiwhite 
6234,Im male and am asking this question to nonbinary identified people Why do you give so much of a crap Why cant you just lighten up let the thread happen and ignore it
1340,whites founded the country  god youre not very smart  trying to be cool and pander to the antiwhite racists that hate your skin color 
3809,you should go to a kkk gathering  i heard they have fried chicken
1978,go forth and make white children 
858,not generally  in some states  12 of black people live on foodstamps  if that suddenly came to an end  it would be madness nra
1033,evening read  deportable alien with priors kills cyclist during tragic dui in kentucky
5300,icymi obama refused to deport 820k illegal aliens guilty of murder rape drug offenses  more via
371,a wall is meaningless once amnesty is granted  in time they will tear down the wall like they are tearing down statues  notrumpamnesty
1432,diversity is only imposed on white nations  diversity  slowly and legally eliminating white people 
1732,why are white nationalist white people who resist islam labelled racist 
296,polish media arent occupied with endless tokenism  yet 
4446,white power black parasite blacks have contributed nothing to humanity
3243,another holocaust survivor hoax exposed
1631,has become a school committed to black empowerment and white disenfranchisement 
902,we should validate the lefts comments of americas white nationalist history and offer them praise 
4564,honest human is torn apart by hyena breed greedy admin betrayals ppl real sheeps
4064,darren wilson did his job and is now unemployable  michael brown tried to kill him and is a martyr to blacks and white liberals america2015
3481,ernst zndel  the hitler we loved and why  read more  via how we need him now 
2837,asia for the asians  africa for the africans  white countries for everyone  diversity means chasingdownwhites  whitegenocide
5703,but is it still catch and release close the border
2750,we know that libtards hate black people  what if this fallen officer had been white  would he still skip 
464,recruiting white nationalist with a jew as your mascot  talk about mixed message 
5093,all should be deported immediately
14,they say they are antiracist  but what they really are is antiwhite  via
2056,war on the whites might be real  but ie isnt pro white  true white are heathen  not christ cucks 
1857,social justice  black allowed to kill white 
1390, alright ted kaczynski  mail bomb your way to a white ethnostate  while o
1870,these thugs dont care about race  thats a cover there using  they hate and want to destroy america 
3594,white genocide accelerates in new zealand  read more  via
6119,what do you give an african child for its first birthday  roses on its grave 
4825,wow what a racist you should call yourself the pink panthers a bunch of race hustlers what good is coming from this 
232, white girl shot to death for fun by black racist murders  read more  via
4266,the biological differences between the races are obvious to anyone with a working set of eyes crime stats inventions cultu
3664,agreed   anyone who supports amnesty for foreign illegal invaders should move themselves south of the border 
1559,yes  hate injustice toward women  hate curtailing of free speech  hate warfare against nonmuslims  hate killing of apostates 
1984,i guess white lives dont matter if they kill themselves with opioids and heroine
5674,enforce r laws all illegals out f here and fire gov employees in charge f migrants including hussein obama brought them in dump em to taxp
1411,antiracist is just code for anti white  no one says that africa needs to have a blended humanity
6189,i like my women like my wine aged number years and stored in the cellar
1678,pretty much  why would jews  who look like white men  bash themselves  oh  they wouldnt 
1961,black student unions unmolested  but white ones banned all over  is there a conspiracy to suppress white identity 
1605, there is no hate like islamic hate 
5743,As if killing a few people who deserved it means you are the most right wingest that ever existed or something
6276,I wish youd stop calling me a feminist Im not a feminist Its really insulting I love all that traditional woman stuff cooking cleaning like that
4420,bloody mohammedan savages who is responsible for letting these beasts in to our countries
4318,because of muh multiculturalism and because white people have apparently been so evil ie  weve managed to evolve beyond flicking our shit at each other we need more brown people in our oncebeautiful countries
5880,Have you ever had Ethiopian cuisine Neither have they
2091, heard of   white privilege    the entire concept is to make white people feel bad that we are white  its original sin for whites  
1252,have you ever seen a race with no competitors  black  white are invalid colours of stigmas  power 
2041,the replies show just how important it is to be prowhite in these antiwhite times 
4084,i remember a video or audio file in which he said something like the white race needs to be blended out of existence
5965,I love the Legend of Zelda games Name the games after the girl so she feels important but has nexttono involvement whatsoever in them
673,thats like saying arabs are white  theyre semites  hence the prase antisemite 
2949,us murders concentrated in nonwhite counties swrm us via
4431,it sucks to put the burden on themthy are outnumbered by the leeches ne
1400,aint that america  obama shoes  in this farce of a country  illegal aliens are showing up on the mexican bord 
1011,and on the same day a bunch of over paid black athletes protest whiteys oppression  white guilt is rea
6277,No you cant like him Its the most disgusting thing to mix a Black and an Asian
5810,What two kinds of people are totally different but always look the same Asians and hepatitis patients
3337,reality is worse than this picture  at least the couple are white here  liberal media and le
648,non whites already have groups to help them  the federal government  for instance 
5609,declare a state of emergency martial law use the hosesand play right into our hand
435,john friends blog  international holohoax remembrance day
1210,a hindu in america with a job is a white man without a job  you see what im getting at  as a white man that bothers me
2936,the most disgusting of antiwhites do thatuse extreme racism against whites against them because it increases the reaction by 5  or similar
4301,amnesty and free healthcare for 20 mil illegal aliens mean 20 mil votes next election for this peice of dried up dog drool
5230,he needs time to come up with soft nonthreatening euphemisms so as to not offend sensitive terrorists
1019,black atheist republican  explains why he now believes the white race is intellectually superior 
751,kasich wont lift a finger to protect whites from blacks or even warn them  some of them need warning 
1452,i dont think there are enough white players in the nba  they must be racist  al sharpton please call an emergency meeting 
616,i genuinely feel the familys pain  and agree with tweet  no immigrants  no accidents  how dare these immigrants bring their accidents here 
4619,then how will blacks become edumacated 
5409,not even a ticket let them leave the same way they came
5850,How do you name a jew pokémon trainer Ash
1231,ca is the worst state in infrastructure spending  yet pushes to spend    on services for illegal immigrants  immigration
3859,baxter the backstabber sounds like a low iq alcoholic thug  that is too stupid to realize that hes no
1789,blacks are 16 white population  shoot someone at random 56 chance they are white 
3782,uk universities to ban feminists and conservatives to avoid offending muslims
4587,sickening disheartening to see civilization actively participate in its own demise muslims intend t
686,trump is surrounded by a yiddish board of directors  republicans are not for white people 
6022,Whats one thing you never say to a school shooter Think of the children
5517,take down the   now
740, rt judge sentenced three   refugees   to probation  no jail time  for rape of a 5  yearold girl in idaho  national media coverage  of course not 
838,its should also be noted that the vast majority of those who kill whites are white asian on asian latino on latino american on american proximity
4811,whatever they do people still wont want to date black women or asian men
636,lots of normal white people are receptive to a prowhite message  a lot voted for trump  dont you prowhite to be mainstream 
5698,take a chapter out of merkels book and make all white women wear a bracelet saying please dont sho
5790,We signed the Mayflower compact so we could throw the corrupt asses out of our government Keep up the good work Patriots in the WH True Patriots are proud of everything you are doing to cut the cancer out of our Republic Just remember Treason  1 bullet 1down  NEXT Never have to deal with those traitors again God Bless
4229,neanderthals were way ahead of negroes whites carry many neanderthal genes blacks none
5368,shoot them all
3277,hey black lies matter how does it feel knowing the white man you hate so much is still leading and lying to you 
598,ethnic norwegians disappearing as nonwhite colonization intensifies swrm nonwhite prowhite via
1154,white supremacist society  where  whites are the most oppressed group in the us  noguilt
4851, damn right we dont let a coon be a coon but that coon will be exposed if heshe comes cooning cross our path
255,david duke is the white mans champion  however its a losing battle  the white race is dying a face death 
1720,whats shocking is 34  didnt think america settled by white euros  lets see  123  black pop 125  brown pop  misc minorities  white cucks 
2493,white protestants  the people who founded the country need to leave the catholics  jews behind 
5620,give an inch they want a mile no daca no compromise no surrender
5184,put nooses around them
2872,i made up pro white  bro  i was pro white before i was altright  nobody was standing up for white people in my area so i did  praying 4 u
3702,free speech for jews  antiwhites only
1334,white nationalism is a religion of peace 
3151,triumph of the will gives me goosebumps  i must be a national socialist 
474,that would be even more more evidence that they really are    white    not white  anglo women dont abort 
2839,because what the white race needs is a military arms race among east asians  those are the competitors
1479,maybeafter all the white folks are bred out 
3945,robert spencer in pj media  white house proposes official new race  middle east  north african
4742,then you are living in an imaginary mzansi  go watch kalushi and learn a few things
5340,these r actually hard core terrorists who are smartly moving getting fake identities  preparing tackle at once
3227, i for one am very passionate about making my part of making the white race better for a future  i have white babies 
3654, muslim who murdered jewish girlfriend says im going to kill every jew  one isnt enough for me 
517,your statement is utter rubbish  jews killed over 70 million people at the same time  inclu
1148,white identity politics does lift everyone  white race has been greatest good on the planet  racewise 
2528, proliferating antiwhite agenda   
1994,iran must give up islam  you are our aryan bretheren  save yourself 
1332,white history never will forget confederate 18601865   
1406,america will never be a pure white country but that
1368, rt of course  jewmedia to poison white brains   bad    neonazis     skirmished   w    wellorganized     counter    protesters 
2202,rahowa is what skinheads and white supremacists call a future desired race war 
3839,  these savages are attacking thomas jeffersons statue now  stupid people with idiot ideas or no ideas ht
3166,white guilt is over 
5557,send them back to their motherlandillegal is illegal no matter what you call em
3220, yes white brethren we shall unite rt    kkk alive and well white brother hood unite ku klux klan   
4341,a fuzzy headed screaming little chimp with a white breeder motherwhat an abomination
3458,american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it
3988,tv ads link immigration to earth day air in san diego earthday2014 sandiego toomanypeople
4689,what a genius your mother would be proud
3520,mexicans have such strong family values and  natural conservatism  that when they replace us the abortion issue will be solved 
5793,The day were allowed to remove these pigs 1 by 1 will truly be a wonderful day I believe once the weak whites and ALL brown menaces are gone the remaining ppl left will really know freedom
6314,Women are like wine I can only afford the really cheap ones that have the big ugly boxes that leak
5057,cut off their heads
5867,More than onethird of Africa lacks clean water I guess black people will even steal from their own kind
173,white power  read more  via
2589,bruh i love white people too how do i join
689,we aint the white male is treated horrible by every race including white women
772,agreed  the white race has built and invented every aspect of modern civilisation 
5333,send illegal aliens home its a slap in face to allow them to stay
2629,im sure they will protect a gay jew 
5137,an unauthorized amnesty begins no safeguards in place to prevent fraud daca immigration
4298,is someone mad they now have some competition is competition bad are we scared we cant compete with third world people
4182,and you will be shocked when god comes and kills all the half ape black people
4209,the problem with the swamp it is more interested in foreign nationals than american citizens
443,license to kill  the white race whitegenocide thanksjews
4316,have you ever written about islam being a crutch for a failed civilization im new to your work just wondering
2846,come on  everybody hear white people  white nation 
27, rt  how jews feel about whitepeople    the white race is the cancer of human history     jewess susan sontag hate israel  r  
3429, seven misunderstanders of islam nabbed in israel for plots to kidnap soldiers  murder christians    this is o  
6322,Check out CBSN On Assignment on CBS at 9pm they are gonna tell moslem kids its not right to cut peoples heads off could be funny
6080,Youre pure comedy to the WNBA itsshaqhoe Not sexist but WNBA is pure comedy to me 
2208,saving one white country at a time 
2457,the only hate is in the empty nihilism of treasonous marxists such as yourself  you hate whites  you hate civilization  you hate beauty 
2003,jews are not white 
523, but every time i ask why black people do so much more crime people tell me its   culture   
5690,dreamers are illegal if someone kills someone after so long they get away with it murder will be oked next deport the leeches
2542, there are very few   white supremacists   in charleston  there are more blm racist activists than any other extremist group  
1035,for worldrefugeeday how about we help the white south africans and save them from the brutality theyve been enduring for years now 
3442, 84  of all wanted criminals in copenhagen are nonwhite
4709,if you dont speak up they she will speak for you marilyn deyoung  latino babies can join a gang
1590,9year old white boy commits suicide after being tormented for months by racist arabs  read more  via
348,youre like prewhites  not quite white 
2215,tfw youre neurotically trying to prevent a genocide while openly committing one of your own against white people 
1326,when you are on your knees with your white associates do you swallow
4989,if anyone in the doj actually cared they would investigate these sanctuary supporting scumbags  stop this violence dc is all talk
2743,very important american nazi party report  politics freedom 14words
595,dutch arrest 12 thought to be ready to launch jihad attack islam islamophobia
948, flashback  gov  mark dayton tells   deplorables   to   find another state   via cuckservative terrorism 
4484,border agent obama catch and release policies fueling illegal immigration to us
227, hate posters  you want hate buddy  read the koran  good point  charles
3006, white people are beautiful  whiteness should be treasured and preserved  i know its scandalous  i dont care about being   mainstream   
4557,one rabbit is cute but millions are a plague
2708,spoken like a true apologist for islamic supremacism 
3093,ignorant things  blacks rioting and destroying commerce and civilization  its why whites abandoned st  louis years ago
1449,how any white liberals coming to ferguson and shawshooting this weekend will get robbed  place your bets 
5452,time to purge within our own communities make all suspected muslims dissapear do it in a fashion where nobody will notice make examples
2298, rt antifa idiots turn on each other    youre white  youre inherently racist  its in your blood  its in your dna    this warms my heart  
4371, too few of whom have jobs already and we import peasants with diseased minds and bodies that have only disdain for us
5728,Please Hurry UUUUUUUPPPP LockThemUp
1312,the genocide in south africa where whites are being brutally massacred by blacks is race war  the blacks there are power hungry 
6327,Agreed The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites 
4390,no sanc for islamists or illegals or ms13 thugs time for us to just say no to these rats who infest our body politic and do us no good
4004,white countries for white nations 
5353,take them all out they dont deserve to be there
5821,A gay guy A black guy and A Jew get hit by a bus They all appear in front of the gates of heaven The Angel says Welcome to Heaven The three guys beg him for a second chance The angel saysI can only do it if you promised to give up what you love doing the most The three men immediately agreed to do that  Suddenly theyre on the street and the bus is passing by They cautiously cross the street and continue walking until they come across a car which has an open window and a purse The gay guy says to the black guy Dont do it man youre stronger than that But he reaches in anyway Poof Black guy disappears  They continue walking until the Jew comes across a penny He bends down with the gay guy behind him Poof Gay guy disappears
4981,go bakers wedding cakes are for real weddings 
2416,muslims r so messed up  politicians should be forced to fund own security  they make decent people highly vulnerable
2193,or  maybe your super thinks white people are the devil and wont fix your sink 
1108,serbian parliament gives jews  1 million per year for holocaust restitution withjewswelose
1985,i see that all the time  too  i think the mixed race baby figures are underestimated  white women have gone nuts for this path to single motherhood 
3685,charlottesville was our beer hall putsch  now we draw the left so far our the normies will vote for us 
4169,new calif educati on bill wont compensate for overpopulation overimmigration toomanypeople blog
2803, the people in those countries were raping children and cutting off female genitalia  but   they wuz kings    right  lol 
3201, altrightmeans   white supremacy   is a recognition of white quality  and   white privilege   is simply white achievement  
4976,thankwhitepeople for discovering cures for diphtheria dysentery polio rickettsiameaslestyphoidu get the idea
4179,he wants illegals and refugees as long as he does not have to live among them hello people this guy is scum
2282, an epic win for westren civilization    django unchained   was horribly racist and antiwhite  
5733,Just got shoahd AGAIN 3 shoahs in 3 days I hope those stupid faggots at twitter hang themselves Their bots are fucking shit Dumb dirty kike faggots All bc I started a curious cat acct
3222,immigration courts  operating in crisis mode   judges say via noamnesty
